0.0000	0.0000
6.5175	0.0000
6.7121	-0.0049
6.9043	-0.0090
7.0216	-0.0119
7.1389	-0.0138
7.2562	-0.0154
7.3734	-0.0165
7.4907	-0.0172
7.7253	-0.0184
8.0380	-0.0198
8.5853	-0.0211
9.1326	-0.0219
9.7972	-0.0228
10.5009	-0.0235
11.2046	-0.0241
11.9473	-0.0247
12.7292	-0.0252
13.5501	-0.0257
14.6057	-0.0264
15.6221	-0.0269
16.4821	-0.0273
17.1858	-0.0278
17.7722	-0.0280
18.6323	-0.0285
18.9450	-0.0276
19.0232	-0.0269
19.1796	-0.0254
19.2577	-0.0243
19.4141	-0.0224
19.5314	-0.0203
19.6487	-0.0183
19.7660	-0.0166
19.8832	-0.0149
20.0005	-0.0133
20.1178	-0.0121
20.2351	-0.0108
20.3524	-0.0094
20.4696	-0.0085
20.5869	-0.0078
20.8215	-0.0068
21.1342	-0.0057
21.6424	-0.0048
22.3461	-0.0039
22.9716	-0.0033
23.6362	-0.0028
24.3008	-0.0023
24.9263	-0.0020
25.8755	-0.0016
26.9455	-0.0012
27.9183	-0.0010
28.9883	-0.0009
29.9611	-0.0007
32.5875	-0.0005
36.0895	-0.0002
39.6887	0.0000
50.0000	0.0000
