0.0000	0.0000
0.2472	0.0000
0.2848	-0.4741
0.2921	-1.9964
0.3370	-2.7749
0.3750	-2.5836
0.3929	-2.3943
0.4045	-2.2601
0.4269	-2.1345
0.4494	-2.0215
0.4719	-1.8834
0.4943	-1.7955
0.5132	-1.7166
0.5393	-1.6448
0.5578	-1.5896
0.5801	-1.4999
0.6067	-1.3937
0.6113	-1.3180
0.6292	-1.2556
0.6425	-1.1710
0.6648	-1.0639
0.6741	-0.9417
0.6916	-0.8646
0.7190	-0.7785
0.7362	-0.7126
0.7640	-0.6404
0.7808	-0.5806
0.8031	-0.5183
0.8253	-0.4535
0.8763	-0.3892
0.9145	-0.3464
0.9662	-0.3013
1.0126	-0.2642
1.0786	-0.2260
1.1909	-0.1883
1.3257	-0.1507
1.4139	-0.1246
1.5055	-0.1004
1.6403	-0.0879
1.7976	-0.0628
1.9549	-0.0502
2.1131	-0.0449
2.2919	-0.0377
2.4717	-0.0251
2.6964	0.0000
2.9885	0.0000
3.1683	0.0000
3.3930	0.0000
3.7300	0.0000
